index,year_ceremony,category,name,film,winner,nconst,birthYear,deathYear,primaryProfession,ceremonyAge,alive,currentYear,currentAge
0,1928,ACTOR,Richard Barthelmess,The Noose,False,nm0001932,1895,1963,"actor,soundtrack,producer",33,False,2021,0
1,1928,ACTOR,Emil Jannings,The Last Command,True,nm0417837,1884,1950,"actor,producer,art_department",44,False,2021,0
2,1928,ACTRESS,Louise Dresser,A Ship Comes In,False,nm0237571,1878,1965,actress,50,False,2021,0
3,1928,ACTRESS,Janet Gaynor,7th Heaven,True,nm0310980,1906,1984,"actress,soundtrack",22,False,2021,0
6,1938,ACTRESS,Janet Gaynor,A Star Is Born,False,nm0310980,1906,1984,"actress,soundtrack",32,False,2021,0
9,1928,ACTRESS,Gloria Swanson,Sadie Thompson,False,nm0841797,1899,1983,"actress,soundtrack,producer",29,False,2021,0
12,1930,ACTRESS,Gloria Swanson,The Trespasser,False,nm0841797,1899,1983,"actress,soundtrack,producer",31,False,2021,0
15,1951,ACTRESS,Gloria Swanson,Sunset Blvd.,False,nm0841797,1899,1983,"actress,soundtrack,producer",52,False,2021,0
18,1928,ART DIRECTION,Rochus Gliese,Sunrise,False,nm0322843,1891,1978,"art_director,director,production_designer",37,False,2021,0
19,1928,ART DIRECTION,William Cameron Menzies,The Dove;,True,nm0580017,1896,1957,"art_director,director,art_department",32,False,2021,0
20,1929,ART DIRECTION,William Cameron Menzies,Alibi;,False,nm0580017,1896,1957,"art_director,director,art_department",33,False,2021,0
21,1928,ART DIRECTION,Harry Oliver,7th Heaven,False,nm0646856,1888,1973,"art_department,art_director,miscellaneous",40,False,2021,0
33,1929,ART DIRECTION,Harry Oliver,Street Angel,False,nm0646856,1888,1973,"art_department,art_director,miscellaneous",41,False,2021,0
45,1928,CINEMATOGRAPHY,George Barnes,The Devil Dancer;,False,nm0055604,1892,1953,"cinematographer,camera_department",36,False,2021,0
64,1929,CINEMATOGRAPHY,George Barnes,Our Dancing Daughters,False,nm0055604,1892,1953,"cinematographer,camera_department",37,False,2021,0
83,1941,CINEMATOGRAPHY (Black-and-White),George Barnes,Rebecca,True,nm0055604,1892,1953,"cinematographer,camera_department",49,False,2021,0
102,1946,CINEMATOGRAPHY (Black-and-White),George Barnes,Spellbound,False,nm0055604,1892,1953,"cinematographer,camera_department",54,False,2021,0
121,1946,CINEMATOGRAPHY (Color),George Barnes,The Spanish Main,False,nm0055604,1892,1953,"cinematographer,camera_department",54,False,2021,0
140,1951,CINEMATOGRAPHY (Color),George Barnes,Samson and Delilah,False,nm0055604,1892,1953,"cinematographer,camera_department",59,False,2021,0
159,1928,CINEMATOGRAPHY,Charles Rosher,Sunrise,True,nm0003546,1885,1974,"cinematographer,camera_department,miscellaneous",43,False,2021,0
160,1935,CINEMATOGRAPHY,Charles Rosher,The Affairs of Cellini,False,nm0003546,1885,1974,"cinematographer,camera_department,miscellaneous",50,False,2021,0
161,1945,CINEMATOGRAPHY (Color),Charles Rosher,Kismet,False,nm0003546,1885,1974,"cinematographer,camera_department,miscellaneous",60,False,2021,0
162,1951,CINEMATOGRAPHY (Color),Charles Rosher,Annie Get Your Gun,False,nm0003546,1885,1974,"cinematographer,camera_department,miscellaneous",66,False,2021,0
163,1952,CINEMATOGRAPHY (Color),Charles Rosher,Show Boat,False,nm0003546,1885,1974,"cinematographer,camera_department,miscellaneous",67,False,2021,0
164,1928,CINEMATOGRAPHY,Karl Struss,Sunrise,True,nm0835365,1886,1981,"cinematographer,camera_department,director",42,False,2021,0
165,1932,CINEMATOGRAPHY,Karl Struss,Dr. Jekyll and Mr. Hyde,False,nm0835365,1886,1981,"cinematographer,camera_department,director",46,False,2021,0
166,1933,CINEMATOGRAPHY,Karl Struss,The Sign of the Cross,False,nm0835365,1886,1981,"cinematographer,camera_department,director",47,False,2021,0
167,1928,DIRECTING (Comedy Picture),Lewis Milestone,Two Arabian Knights,True,nm0587277,1895,1980,"director,writer,producer",33,False,2021,0
168,1930,DIRECTING,Lewis Milestone,All Quiet on the Western Front,True,nm0587277,1895,1980,"director,writer,producer",35,False,2021,0
169,1931,DIRECTING,Lewis Milestone,The Front Page,False,nm0587277,1895,1980,"director,writer,producer",36,False,2021,0
170,1928,DIRECTING (Comedy Picture),Ted Wilde,Speedy,False,nm0928514,1889,1929,"director,writer",39,False,2021,0
173,1928,DIRECTING (Dramatic Picture),Frank Borzage,7th Heaven,True,nm0097648,1894,1962,"actor,director,producer",34,False,2021,0
174,1932,DIRECTING,Frank Borzage,Bad Girl,True,nm0097648,1894,1962,"actor,director,producer",38,False,2021,0
175,1928,DIRECTING (Dramatic Picture),Herbert Brenon,Sorrell and Son,False,nm0107543,1880,1958,"director,writer,actor",48,False,2021,0
176,1928,DIRECTING (Dramatic Picture),King Vidor,The Crowd,False,nm0896542,1894,1982,"director,writer,producer",34,False,2021,0
177,1930,DIRECTING,King Vidor,Hallelujah,False,nm0896542,1894,1982,"director,writer,producer",36,False,2021,0
178,1932,DIRECTING,King Vidor,The Champ,False,nm0896542,1894,1982,"director,writer,producer",38,False,2021,0
179,1939,DIRECTING,King Vidor,The Citadel,False,nm0896542,1894,1982,"director,writer,producer",45,False,2021,0
180,1957,DIRECTING,King Vidor,War and Peace,False,nm0896542,1894,1982,"director,writer,producer",63,False,2021,0
181,1928,ENGINEERING EFFECTS,Ralph Hammeras,,False,nm0358518,1894,1970,"visual_effects,special_effects,cinematographer",34,False,2021,0
182,1928,ENGINEERING EFFECTS,Roy Pomeroy,Wings,True,nm0690120,1892,1947,"special_effects,director,miscellaneous",36,False,2021,0
183,1928,ENGINEERING EFFECTS,Nugent Slaughter,,False,nm0805521,1888,1968,special_effects,40,False,2021,0
184,1928,OUTSTANDING PICTURE,Fox,7th Heaven,False,nm10464429,0,0,actress,0,False,2021,0
201,1928,UNIQUE AND ARTISTIC PICTURE,Fox,Sunrise,True,nm10464429,0,0,actress,0,False,2021,0
218,1929,OUTSTANDING PICTURE,Fox,In Old Arizona,False,nm10464429,0,0,actress,0,False,2021,0
235,1931,OUTSTANDING PRODUCTION,Fox,East Lynne,False,nm10464429,0,0,actress,0,False,2021,0
252,1932,OUTSTANDING PRODUCTION,Fox,Bad Girl,False,nm10464429,0,0,actress,0,False,2021,0
